Etablissement;Année;Ville;Taux Brut de Réussite série L;Taux Brut de Réussite série ES;Taux Brut de Réussite série S;Académie
LYCEE LOUIS PASTEUR;2013;LILLE;86;86;88;LILLE
LYCEE EIC MARIE NOEL;2013;TOURCOING;;;;LILLE
LYCEE DU HAINAUT;2013;VALENCIENNES;;;92;LILLE
LYCEE JAN LAVEZZARI (GENERAL ET TECHNO.);2013;BERCK;100;93;90;LILLE
LYCEE LOUIS BLARINGHEM;2013;BETHUNE;90;90;93;LILLE
LYCEE BOSSUET;2013;BRIVE LA GAILLARDE;100;100;100;LIMOGES
LYCEE BERNARD PALISSY;2013;ST LEONARD DE NOBLAT;93;91;100;LIMOGES
LYCEE HONORE D'URFE;2013;ST ETIENNE;85;89;99;LYON
LYCEE JEAN MONNET;2013;ST ETIENNE;86;74;87;LYON
LYCEE LA MARTINIERE DIDEROT;2013;LYON 01;;;100;LYON
LYCEE JULIETTE R?CAMIER;2013;LYON 02;85;78;84;LYON
LYCEE DES CHASSAGNES;2013;OULLINS;;100;79;LYON
LYCEE CENTRE SUD;2013;DUCOS;91;100;96;MARTINIQUE
LYCEE PAUL SABATIER;2013;CARCASSONNE;95;89;92;MONTPELLIER
LYCEE JEAN DURAND (GENERAL ET TECHNO.);2013;CASTELNAUDARY;79;82;85;MONTPELLIER
LYCEE FERDINAND FABRE;2013;BEDARIEUX;95;86;95;MONTPELLIER
LYCEE JEAN-FRANCOIS CHAMPOLLION (GENERAL ET TECHNO.);2013;LATTES;77;92;91;MONTPELLIER
LYCEE JEAN MONNET;2013;MONTPELLIER;94;82;88;MONTPELLIER
LYCEE EMILE PEYTAVIN;2013;MENDE;;;100;MONTPELLIER
LYCEE ET SPORTIF PIERRE DE COUBERTIN;2013;FONT ROMEU ODEILLO VIA;100;95;95;MONTPELLIER
NOTRE DAME DE BON SECOURS;2013;PERPIGNAN;89;96;98;MONTPELLIER
LYCEE HENRI POINCARE;2013;NANCY;97;93;94;NANCY-METZ
LYCEE NOTRE DAME SAINT SIGISBERT;2013;NANCY;93;100;99;NANCY-METZ
LYCEE PIERRE DE COUBERTIN;2013;NANCY;;;;NANCY-METZ
LYCEE JEAN MOULIN;2013;FORBACH;94;96;91;NANCY-METZ
LYCEE JEAN XXIII;2013;MONTIGNY LES METZ;100;100;96;NANCY-METZ
LYCEE JOACHIM DU BELLAY;2013;ANGERS;95;98;94;NANTES
LYCEE FRANCOIS RABELAIS (GENERAL ET TECHNO.);2013;FONTENAY LE COMTE;100;100;98;NANTES
LYCEE PIERRE-EMILE MARTIN (GENERAL ET TECHNO.);2013;BOURGES;;;96;ORLEANS-TOURS
LYCEE ST PIERRE ST PAUL;2013;DREUX;100;100;98;ORLEANS-TOURS
LYCEE SAINT DENIS;2013;LOCHES;100;100;92;ORLEANS-TOURS
LYCEE DESCARTES;2013;TOURS;91;96;93;ORLEANS-TOURS
LYCEE D'HULST;2013;PARIS 07;100;100;100;PARIS
LYCEE COLBERT;2013;PARIS 10;74;81;77;PARIS
EC TECHNIQUE SUP LABORATOIRE;2013;PARIS 13;;;;PARIS
LYCEE EMILE DUBOIS;2013;PARIS 14;;;;PARIS
LYCEE EMILE COMBES (GENERAL ET TECHNO.);2013;PONS;71;90;95;POITIERS
LYCEE MAURICE GENEVOIX;2013;BRESSUIRE;98;94;100;POITIERS
LYCEE DU HAUT VAL DE SEVRE (GENERAL ET TECHNO.);2013;ST MAIXENT L ECOLE;100;100;93;POITIERS
LYCEE MAURICE UTRILLO;2012;STAINS;82;81;81;CRETEIL
LYCEE BLAISE PASCAL (GENERAL ET TECHNO.);2012;VILLEMOMBLE;;;;CRETEIL
LYCEE MONTALEMBERT;2012;NOGENT SUR MARNE CEDEX;100;100;100;CRETEIL
CLOS MAIRE (GENERAL ET TECHNO.);2012;BEAUNE CEDEX;90;91;80;DIJON
LYCEE MAURICE GENEVOIX (GENERAL ET TECHNO.);2012;DECIZE;80;95;92;DIJON
LYCEE SAINT JOSEPH (GENERAL ET TECHNO.);2012;AUXERRE CEDEX;100;96;94;DIJON
LYCEE JEANNE D'ARC (GENERAL ET TECHNO.);2012;AVALLON;100;100;86;DIJON
LYCEE MARC SEGUIN;2012;ANNONAY;;;;GRENOBLE
LYCEE BARTHELEMY DE LAFFEMAS;2012;VALENCE CEDEX;63;88;93;GRENOBLE
LYCEE SAINT MICHEL;2012;ANNECY CEDEX;100;93;99;GRENOBLE
LYCEE SAVOIE LEMAN;2012;THONON LES BAINS CEDEX;;;;GRENOBLE
LYCEE SAINT FRANCOIS;2012;VILLE LA GRAND;88;98;100;GRENOBLE
EXTERNAT NOTRE DAME;2012;GRENOBLE;100;100;100;GRENOBLE
LYCEE PAUL HEROULT;2012;ST J. DE MAURIENNE CEDEX;93;89;95;GRENOBLE
LYCEE LAVOISIER;2012;AUCHEL;100;75;90;LILLE
LYCEE DANTON;2012;BRIVE LA GAILLARDE CEDEX;;;;LIMOGES
LYCEE TURGOT;2012;LIMOGES CEDEX;;;93;LIMOGES
LYCEE ST JOSEPH;2012;GAP;;100;97;AIX-MARSEILLE
LYCEE GEORGES COLOMB;2012;LURE CEDEX;100;93;80;BESANCON
LYCEE SAINT RIQUIER;2012;AMIENS CEDEX;82;89;96;AMIENS
LYCEE EDOUARD BRANLY;2012;AMIENS CEDEX;;;76;AMIENS
LYCEE JEAN DE LA FONTAINE;2012;CHATEAU THIERRY CEDEX;81;85;85;AMIENS
LYCEE LEONARD DE VINCI;2012;SOISSONS CEDEX;;65;91;AMIENS
LYCEE ST VINCENT DE PAUL;2012;SOISSONS CEDEX;;;;AMIENS
LYCEE PIERRE DE LA RAMEE;2012;ST QUENTIN;95;77;83;AMIENS
LYCEE PAUL LANGEVIN;2012;BEAUVAIS CEDEX;;;74;AMIENS
LYCEE ALAIN CHARTIER;2012;BAYEUX CEDEX;92;;86;CAEN
LYCEE DE BORDA (GENERAL ET TECHNO.);2012;DAX CEDEX;94;94;93;BORDEAUX
LYCEE ST DOMINIQUE;2012;PAU;;96;92;BORDEAUX
LYCEE TERTIAIRE ET  SOCIAL G.LEYGUES;2012;VILLENEUVE SUR LOT CEDEX;92;91;96;BORDEAUX
LYCEE STE MARIE BASTIDE;2012;BORDEAUX CEDEX;88;97;97;BORDEAUX
LYCEE ST GENES;2012;BORDEAUX CEDEX;100;100;100;BORDEAUX
LYCEE VICTOR GRIGNARD;2012;CHERBOURG OCTEVIL;97;96;97;CAEN
LYCEE SAINT-EXUPERY;2012;LA ROCHELLE CEDEX;86;89;84;POITIERS
LYCEE ALIENOR D AQUITAINE;2012;POITIERS CEDEX;75;94;88;POITIERS
LYCEE COLBERT;2012;REIMS;86;80;70;REIMS
LYCEE HENRI AVRIL;2012;LAMBALLE CEDEX;92;91;98;RENNES
LYCEE ST JOSEPH;2012;VANNES CEDEX;;;94;RENNES
LYCEE RAYMOND QUENEAU (GENERAL ET TECHNO.);2012;YVETOT CEDEX;87;95;93;ROUEN
LYCEE KLEBER;2012;STRASBOURG CEDEX;96;99;95;STRASBOURG
LYCEE LOUIS COUFFIGNAL;2012;STRASBOURG CEDEX;;;88;STRASBOURG
LYCEE BLAISE PASCAL (GENERAL ET TECHNO.);2012;COLMAR CEDEX;;90;95;STRASBOURG
LYCEE SAMUEL DE CHAMPLAIN;2013;CHENNEVIERES SUR MARNE;84;86;84;CRETEIL
LYCEE STEPHEN LIEGEARD;2013;BROCHON;100;98;96;DIJON
LYCEE RENE CASSIN (GENERAL ET TECHNO.);2013;MACON;94;98;97;DIJON
LYCEE HENRI PARRIAT;2013;MONTCEAU LES MINES;94;85;88;DIJON
LYCEE ROUMANILLE;2013;NYONS;96;94;92;GRENOBLE
LYCEE JULES ALGOUD (GENERAL ET TECHNO.);2013;VALENCE;;;100;GRENOBLE
LYCEE MONT BLANC RENE DAYVE (GENERAL ET TECHNO.);2013;PASSY;86;99;96;GRENOBLE
LYCEE LA CHARTREUSE PARADIS;2012;BRIVES CHARENSAC;100;93;96;CLERMONT-FERRAND
LYCEE SAINT BENOIT;2012;MOULINS CEDEX;100;100;89;CLERMONT-FERRAND
PENSIONNAT JEANNE D ARC;2012;BASTIA CEDEX;94;96;95;CORSE
LYCEE LA TOUR DES DAMES (GENERAL ET TECHNO.);2012;ROZAY EN BRIE;92;91;97;CRETEIL
LYCEE VAN DONGEN;2012;LAGNY SUR MARNE;94;85;94;CRETEIL
LYCEE RENE DESCARTES (GENERAL ET TECHNO.);2012;CHAMPS SUR MARNE;94;72;85;CRETEIL
LYCEE BAZEILLES (GENERAL ET TECHNO.);2013;SEDAN;78;;85;REIMS
LYCEE CHARLES DE GAULLE (GENERAL ET TECHNO.);2013;CHAUMONT;;;88;REIMS
LYCEE EDME BOUCHARDON;2013;CHAUMONT;100;89;88;REIMS
LYCEE DIDEROT (GENERAL ET TECHNO.);2013;LANGRES;100;88;96;REIMS
LYCEE BLAISE PASCAL;2013;ST DIZIER;;;96;REIMS
LYCEE PIERRE BAYEN;2013;CHALONS EN CHAMPAGNE CED;82;96;96;REIMS
LYCEE EUROPEEN STEPHANE HESSEL (GENERAL ET TECHNO.);2013;EPERNAY;93;90;87;REIMS
LYCEE ST MICHEL (GENERAL ET TECHNO.);2013;REIMS;;88;;REIMS
LYCEE DUPUY DE LOME (GENERAL ET TECHNO.);2013;BREST;;;;RENNES
LYCEE JEAN-MARIE LE BRIS;2013;DOUARNENEZ;100;93;94;RENNES
LYCEE YVES THEPOT (GENERAL ET TECHNO.);2013;QUIMPER;;;100;RENNES
LYCEE NOTRE DAME DE KERBERTRAND;2013;QUIMPERLE;100;100;100;RENNES
LYCEE ST SAUVEUR;2013;REDON;100;100;100;RENNES
LYCEE AUGUSTIN FRESNEL;2013;BERNAY;100;92;88;ROUEN
LYCEE SAINT-FRANCOIS DE SALES;2013;EVREUX;100;87;79;ROUEN
LYCEE PORTE DE NORMANDIE;2013;VERNEUIL SUR AVRE;81;78;97;ROUEN
LYCEE VAL DE SEINE;2013;LE GRAND QUEVILLY;77;84;82;ROUEN
LYCEE LOUIS MARCHAL (GENERAL ET TECHNO.);2013;MOLSHEIM;;;96;STRASBOURG
LYCEE ORT;2013;STRASBOURG;;;;STRASBOURG
COLLEGE EPISCOPAL;2013;ZILLISHEIM;100;100;99;STRASBOURG
LYCEE NOTRE-DAME;2013;PAMIERS;100;86;91;TOULOUSE
LYCEE SAINT-JOSEPH DE L'APPARITION;2013;GAILLAC;86;100;100;TOULOUSE
LYCEE FRANCOIS-JOSEPH TALMA;2013;BRUNOY;88;87;92;VERSAILLES
LYCEE SAINT PIERRE (TECHNO.);2013;BRUNOY;;;;VERSAILLES
LYCEE GEORGES BRASSENS (GENERAL ET TECHNO.);2013;COURCOURONNES;81;86;80;VERSAILLES
LYCEE PARC DE VILGENIS (GENERAL ET TECHNO.);2013;MASSY;100;91;94;VERSAILLES
LYCEE ROSA PARKS;2013;MONTGERON;87;90;90;VERSAILLES
LYCEE SAINT GABRIEL;2013;BAGNEUX;;93;100;VERSAILLES
LYCEE JACQUES PREVERT;2013;BOULOGNE BILLANCOURT;80;88;91;VERSAILLES
LYCEE LOUIS ARMAND (GENERAL ET TECHNO.);2013;EAUBONNE;88;98;96;VERSAILLES
LYCEE FRAGONARD;2013;L ISLE ADAM;93;95;88;VERSAILLES
LYCEE JEAN-JACQUES ROUSSEAU (GENERAL ET TECHNO.);2013;SARCELLES;92;75;72;VERSAILLES
LYCEE JEAN-BAPTISTE POQUELIN (GENERAL ET TECHNO.);2013;ST GERMAIN EN LAYE;;;;VERSAILLES
LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.);2013;ST GERMAIN EN LAYE;;;92;VERSAILLES
LYCEE BELMONT-CAPDEPON;2014;LYON 07;100;76;;LYON
LYCEE CLAUDE BERNARD (GENERAL ET TECHNO.);2014;VILLEFRANCHE/SAONE;90;82;90;LYON
LYCEE NOTRE DAME DE LA MERCI;2014;MONTPELLIER;100;99;98;MONTPELLIER
LYCEE SAINT PIERRE-SAINT PAUL (GENERAL ET TECHNO.);2014;LANGOGNE;;90;100;MONTPELLIER
LYCEE DES RECOLLETS;2014;LONGWY;86;88;82;NANCY-METZ
LYCEE HOTELIER J-B SIMEON CHARDIN (GENERAL ET TECHNO.);2014;GERARDMER;;;;NANCY-METZ
LYCEE DE BRETAGNE;2014;NANTES;50;53;73;NANTES
LYCEE BOURG CHEVREAU (GENERAL ET TECHNO.);2014;SEGRE;100;100;95;NANTES
LYCEE PIERRE MENDES-FRANCE;2014;LA ROCHE SUR YON;94;98;92;NANTES
LYCEE GUY DE MAUPASSANT;2014;FECAMP;95;86;93;ROUEN
LYCEE DE LA COTE D'ALBATRE;2014;ST VALERY EN CAUX;81;71;95;ROUEN
LYCEE JEAN MONNET;2014;STRASBOURG;69;68;88;STRASBOURG
LYCEE RENE BILLERES;2014;ARGELES GAZOST;100;100;96;TOULOUSE
LYCEE JEANNE D'ARC;2014;TARBES;91;93;91;TOULOUSE
LYCEE PRADEAU-LA SEDE SAINT-PIERRE;2014;TARBES;;;;TOULOUSE
LYCEE DES METIERS CHAMPOLLION;2014;FIGEAC;95;94;100;TOULOUSE
LYCEE JEAN PIERRE TIMBAUD (GENERAL ET TECHNO.);2014;BRETIGNY SUR ORGE;94;83;81;VERSAILLES
LYCEE L'ESSOURIAU (GENERAL ET TECHNO.);2014;LES ULIS;93;86;80;VERSAILLES
LYCEE JEAN BAPTISTE COROT;2014;SAVIGNY SUR ORGE;93;97;89;VERSAILLES
LYCEE JACQUES MONOD;2014;CLAMART;100;97;96;VERSAILLES
LYCEE MADELEINE DANIELOU;2014;RUEIL MALMAISON;100;100;100;VERSAILLES
LYCEE EDMOND ROSTAND (GENERAL ET TECHNO.);2014;ST OUEN L AUMONE;85;87;89;VERSAILLES
LYCEE LOUISE WEISS (GENERAL ET TECHNO.);2014;ACHERES;100;85;79;VERSAILLES
LYCEE D'HOTELLERIE ET DE TOURISME (GENERAL ET TECHNO.);2014;GUYANCOURT;;;;VERSAILLES
LYCEE LE CORBUSIER;2014;POISSY;94;98;95;VERSAILLES
LYCEE SAINT THOMAS DE VILLENEUVE;2014;ST GERMAIN EN LAYE;;100;;VERSAILLES
LYCEE PLAINE DE NEAUPHLE;2014;TRAPPES;100;67;80;VERSAILLES
LYCEE ST LOUIS - STE MARIE;2015;GIGNAC LA NERTHE;100;98;99;AIX-MARSEILLE
LYCEE MAXIMILIEN DE SULLY;2015;MARSEILLE 06;;;;AIX-MARSEILLE
LYCEE JEAN MONNET (GENERAL ET TECHNO.);2014;VITROLLES;93;89;94;AIX-MARSEILLE
LYCEE PIERRE MENDES FRANCE (GENERAL ET TECHNO.);2014;VITROLLES;97;89;97;AIX-MARSEILLE
LYCEE SAINT JOSEPH;2014;CHATEAU THIERRY;;79;80;AMIENS
LYCEE HOTELIER REGIONAL (GENERAL ET TECHNO.);2015;MARSEILLE 08;;;;AIX-MARSEILLE
LYCEE ANTONIN ARTAUD;2015;MARSEILLE 13;96;93;89;AIX-MARSEILLE
LYCEE ADAM DE CRAPONNE;2015;SALON DE PROVENCE;100;98;95;AIX-MARSEILLE
LYCEE VIALA LACOSTE;2015;SALON DE PROVENCE;100;100;97;AIX-MARSEILLE
LYCEE LA HOTOIE (GENERAL ET TECHNO.);2014;AMIENS;82;77;63;AMIENS
LYCEE MAURICE ELIOT;2015;EPINAY SOUS SENART;83;65;79;VERSAILLES
LYCEE PRE SAINT SAUVEUR (GENERAL ET TECHNO.);2014;ST CLAUDE;89;88;77;BESANCON
LYCEE ASSOMPTION - STE CLOTILDE;2014;BORDEAUX;98;98;97;BORDEAUX
LYCEE LES PIERRES VIVES (GENERAL ET TECHNO.);2015;CARRIERES SUR SEINE;100;99;97;VERSAILLES
LYCEE LARGENTE;2014;BAYONNE;;94;100;BORDEAUX
LYCEE JEAN ROSTAND;2014;CAEN;86;84;90;CAEN
LYCEE JULES DUMONT D'URVILLE (GENERAL ET TECHNO.);2014;CAEN;87;75;91;CAEN
LYCEE INTERNATIONAL;2016;SOPHIA ANTIPOLIS;98;99;97;NICE
LYCEE MARIE CURIE;2014;VIRE;91;92;97;CAEN
LYCEE SAINT JEAN EUDES;2014;VIRE;71;67;90;CAEN
LYCEE MARGUERITE DE NAVARRE;2014;ALENCON;94;78;93;CAEN
LYCEE STENDHAL;2016;GRENOBLE;98;96;96;GRENOBLE
LYCEE PIERRE DE LA RAMEE;2015;ST QUENTIN;100;87;90;AMIENS
LYCEE RENE PERRIN (GENERAL ET TECHNO.);2016;UGINE;;;100;GRENOBLE
LYCEE HUGUES CAPET;2015;SENLIS;98;89;97;AMIENS
LYCEE LOUIS LACHENAL (GENERAL ET TECHNO.);2016;PRINGY;;90;97;GRENOBLE
LYCEE GIRAUT DE BORNEIL;2015;EXCIDEUIL;;69;63;BORDEAUX
LYCEE BELLEVUE;2015;ALBI;93;88;91;TOULOUSE
LYCEE EDMOND MICHELET;2015;ARPAJON;76;79;88;VERSAILLES
LYCEE FERNAND DAGUIN;2015;MERIGNAC;89;85;95;BORDEAUX
LYCEE CHARLOTTE PERRIAND (GENERAL ET TECHNO.);2016;GENECH;80;88;88;LILLE
LYCEE JEAN BAPTISTE DE BAUDRE;2015;AGEN;;94;94;BORDEAUX
LYCEE PRIVE DE MARCQ;2016;MARCQ EN BAROEUL;100;100;100;LILLE
LYCEE HENRI CORNAT;2015;VALOGNES;96;92;91;CAEN
LYCEE SAINT PIERRE (TECHNO.);2015;BRUNOY;;;;VERSAILLES
LYCEE BLAISE DE VIGENERE;2015;ST POURCAIN SUR SIOULE;83;92;95;CLERMONT-FERRAND
LYCEE NOTRE DAME;2015;BOULOGNE BILLANCOURT;100;100;100;VERSAILLES
LYCEE JACQUES AMYOT;2015;MELUN;100;96;84;CRETEIL
LYCEE EUGENE IONESCO (GENERAL ET TECHNO.);2015;ISSY LES MOULINEAUX;83;95;94;VERSAILLES
LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.);2015;LEVALLOIS PERRET;100;94;96;VERSAILLES
LYCEE GUSTAVE EIFFEL (GENERAL ET TECHNO.);2015;RUEIL MALMAISON;;;;VERSAILLES
LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.);2015;TREMBLAY EN FRANCE;86;71;63;CRETEIL
LYCEE DE L HAUTIL (GENERAL ET TECHNO.);2015;JOUY LE MOUTIER;73;95;81;VERSAILLES
LYCEE LOUIS ARMAND (GENERAL ET TECHNO.);2015;NOGENT SUR MARNE;;;86;CRETEIL
LYCEE FREDERIC JOLIOT-CURIE;2016;AUBAGNE;91;90;91;AIX-MARSEILLE
LYCEE ALEXIS DE TOCQUEVILLE;2016;GRASSE;77;96;87;NICE
LYCEE PIERRE ET MARIE CURIE;2016;MENTON;100;93;90;NICE
LYCEE HOTELIER TOURISME-PAUL AUGIER (GENERAL ET TECHNO.);2016;NICE;;;;NICE
LYCEE STANISLAS;2016;NICE;100;100;99;NICE
LYCEE LEON-GONTRAN DAMAS;2015;CAYENNE;88;87;87;GUYANE
LYCEE FENELON;2016;TOULON;100;100;98;NICE
LYCEE LUMINA SOPHIE (GENERAL ET TECHNO.);2015;ST LAURENT DU MARONI;88;82;70;GUYANE
EXTERNAT NOTRE DAME;2016;GRENOBLE;100;100;96;GRENOBLE
LYCEE BELLEPIERRE;2015;ST DENIS;91;92;92;LA REUNION
LYCEE PAUL HEROULT;2016;ST JEAN DE MAURIENNE;100;86;90;GRENOBLE
LYCEE NOTRE-DAME DE LA PAIX;2015;LILLE;96;100;96;LILLE
LYCEE VOLTAIRE;2016;PARIS 11;84;81;68;PARIS
LYCEE L'ASSOMPTION;2016;PARIS 16;100;100;100;PARIS
LYCEE SINAI;2016;PARIS 18;;100;100;PARIS
LYCEE JEHAN DE CHELLES (GENERAL ET TECHNO.);2016;CHELLES;85;68;77;CRETEIL
LYCEE SAINT ADRIEN LA SALLE;2015;VILLENEUVE D ASCQ;100;100;98;LILLE
LYCEE GIRAUX SANNIER (GENERAL ET TECHNO.);2015;ST MARTIN BOULOGNE;;92;96;LILLE
LYCEE DES HORIZONS;2015;CHAZELLES SUR LYON;100;93;100;LYON
LYCEE VOLTAIRE;2012;WINGLES;85;81;78;LILLE
LYCEE LA JETEE (GENERAL ET TECHNO.);2015;LE FRANCOIS;95;78;88;MARTINIQUE
LYCEE EMMANUEL D ALZON (GENERAL ET TECHNO.);2015;NIMES;90;94;89;MONTPELLIER
LYCEE FERDINAND FABRE;2015;BEDARIEUX;100;93;92;MONTPELLIER
LYCEE GEORGES CLEMENCEAU;2015;MONTPELLIER;84;91;89;MONTPELLIER
LYCEE DES NERVIENS;2013;BAVAY;81;67;83;LILLE
LYCEE DU PAYS DE CONDE (GENERAL ET TECHNO.);2013;CONDE SUR L ESCAUT;83;68;80;LILLE
LYCEE HELENE BOUCHER;2015;THIONVILLE;89;87;91;NANCY-METZ
LYCEE LOUIS LAPICQUE;2015;EPINAL;98;88;89;NANCY-METZ
LYCEE DE BRETAGNE;2015;NANTES;42;64;69;NANTES
LYCEE CONDORCET;2013;LENS;80;90;89;LILLE
LYCEE LEONARD LIMOSIN;2013;LIMOGES;92;95;92;LIMOGES
LYCEE SAINTE MARIE;2015;CANNES;91;100;100;NICE
LYCEE NOTRE DAME;2015;TOULON;90;88;93;NICE
LYCEE BLAISE PASCAL;2013;CHARBONNIERES LES BA CED;86;97;95;LYON
LYCEE SAINT-MICHEL DE PICPUS;2015;PARIS 12;100;100;100;PARIS
LYCEE LA JETEE (GENERAL ET TECHNO.);2013;LE FRANCOIS;83;56;96;MARTINIQUE
LYCEE PAUL BERT;2015;PARIS 14;86;84;82;PARIS
LYCEE JEAN-BAPTISTE SAY;2015;PARIS 16;100;96;100;PARIS
LYCEE JEAN DROUANT (GENERAL ET TECHNO.);2015;PARIS 17;;;;PARIS
CITE SCOLAIRE JEAN MOULIN;2015;THOUARS;84;79;96;POITIERS
LYCEE JEAN MOULIN;2013;PEZENAS;87;88;91;MONTPELLIER
LYCEE PIERRE BAYEN;2015;CHALONS EN CHAMPAGNE;92;87;91;REIMS
LYCEE DE L'HARTELOIRE;2015;BREST;94;88;92;RENNES
LYCEE ST LOUIS;2015;CHATEAULIN;100;100;95;RENNES
LYCEE DE LA PLASTURGIE V DE GARONNE;2012;MARMANDE CEDEX;87;98;97;BORDEAUX
LYCEE JEAN-BAPTISTE LE TAILLANDIER;2015;FOUGERES;100;98;97;RENNES
LYCEE EMILE ZOLA;2015;RENNES;93;92;97;RENNES
LYCEE REY;2015;BOIS GUILLAUME;100;94;97;ROUEN
LYCEE CLAUDE NICOLAS LEDOUX (GENERAL ET TECHNO.);2012;BESANCON CEDEX;95;96;96;BESANCON
LYCEE BLAISE PASCAL (GENERAL ET TECHNO.);2012;AMBERT;85;93;98;CLERMONT-FERRAND
LYCEE LE CORBUSIER (GENERAL ET TECHNO.);2015;ILLKIRCH;;;;STRASBOURG
LYCEE CAMILLE SEE;2015;COLMAR;100;93;93;STRASBOURG
LYCEE ALBERT SCHWEITZER;2015;MULHOUSE;90;96;91;STRASBOURG
LYCEE LOUISE WEISS (GENERAL ET TECHNO.);2015;STE MARIE AUX MINES;100;;93;STRASBOURG
LYCEE NOTRE DAME DE LA PROVIDENCE;2012;AVRANCHES CEDEX;100;82;88;CAEN
INSTITUTION SAINT-PAUL;2014;AJACCIO;87;93;96;CORSE
LYCEE MARSEILLEVEYRE;2012;MARSEILLE CEDEX 08;93;95;90;AIX-MARSEILLE
LYCEE PAUL DOUMER (GENERAL ET TECHNO.);2014;LE PERREUX SUR MARNE;100;91;95;CRETEIL
LYCEE SAINT MICHEL DE PICPUS;2014;ST MANDE;;94;100;CRETEIL
LYCEE LA MENNAIS;2012;PLOERMEL CEDEX;100;98;100;RENNES
LYCEE JEAN PREVOST;2012;MONTIVILLIERS;85;94;97;ROUEN
LYCEE JEAN-PAUL II;2012;ROUEN CEDEX;86;94;90;ROUEN
LYCEE DOCTEUR KOEBERLE;2012;SELESTAT CEDEX;94;94;97;STRASBOURG
LYCEE JEAN-BAPTISTE SCHWILGUE (GENERAL ET TECHNO.);2012;SELESTAT CEDEX;;;94;STRASBOURG
LYCEE SECTIONS INTERNATIONALES;2012;STRASBOURG CEDEX;97;100;98;STRASBOURG
LYCEE DON BOSCO;2012;LANDSER;;100;100;STRASBOURG
LYCEE JEAN HINGLO (GENERAL ET TECHNO.);2014;LE PORT;100;89;98;LA REUNION
LYCEE AMIRAL PIERRE BOUVET;2014;ST BENOIT;83;91;96;LA REUNION
LYCEE LAMARTINE;2013;MACON;92;91;91;DIJON
LYCEE CATHOLIQUE LA SALLE ST CHARLES (GENERAL ET TECHNO.);2014;ST PIERRE;100;96;99;LA REUNION
LYCEE ROGER FRISON ROCHE (GENERAL ET TECHNO.);2013;CHAMONIX MONT BLANC CEDE;;100;100;GRENOBLE
LYCEE NOTRE-DAME D'ANNAY;2014;LILLE;;;;LILLE
LYCEE EDOUARD HERRIOT;2013;LA CHAPELLE ST LUC;100;88;90;REIMS
LYCEE FREDERIC OZANAM;2013;CHALONS EN CHAMPAGNE CED;100;94;93;REIMS
LYCEE DE KERNEUZEC;2018;QUIMPERLE;94;92;95;RENNES
LYCEE MONT SAINT JEAN;2014;ANTIBES;100;100;100;NICE
LYCEE HENRI MATISSE;2014;VENCE;97;92;96;NICE
LYCEE COSTEBELLE (GENERAL ET TECHNO.);2014;HYERES;91;91;97;NICE
LYCEE JEAN GIRAUDOUX;2014;CHATEAUROUX;94;91;93;ORLEANS-TOURS
LYCEE THEODORE DECK (GENERAL ET TECHNO.);2018;GUEBWILLER;;91;89;STRASBOURG
LYCEE JACQUES DE VAUCANSON;2014;TOURS;88;88;92;ORLEANS-TOURS
LYCEE FREDERIC KIRSCHLEGER;2018;MUNSTER;97;93;100;STRASBOURG
LYCEE BELLEVUE (GENERAL ET TECHNO.);2018;TOULOUSE;97;95;93;TOULOUSE
LYCEE JULES RICHARD MICROTECHNIQUES (GENERAL ET TECHNO.);2014;PARIS 19;;;;PARIS
LYCEE LUCIEN DE HIRSCH;2014;PARIS 19;;100;100;PARIS
LYCEE LOUIS AUDOUIN DUBREUIL (GENERAL ET TECHNO.);2014;ST JEAN D ANGELY;96;82;78;POITIERS
LYCEE JEAN MACE;2014;NIORT;92;92;92;POITIERS
CITE TECHNIQUE EDOUARD BRANLY;2014;CHATELLERAULT;;78;84;POITIERS
LYCEE ISAAC DE L'ETOILE (FEUILLANTS);2014;POITIERS;97;83;96;POITIERS
LYCEE PIERRE GILLES DE GENNES (GENERAL ET TECHNO.);2018;COSNE COURS SUR LOIRE CEDE;82;92;89;DIJON
LYCEE ST MICHEL (GENERAL ET TECHNO.);2014;REIMS;;88;;REIMS
LYCEE ASTIER (GENERAL ET TECHNO.);2018;AUBENAS;;;84;GRENOBLE
LYCEE DUPUY DE LOME (GENERAL ET TECHNO.);2014;BREST;;;;RENNES
LYCEE COLBERT (GENERAL ET TECHNO.);2014;LORIENT;88;94;99;RENNES
LYCEE DU GRESIVAUDAN (GENERAL ET TECHNO.);2018;MEYLAN;95;96;98;GRENOBLE
LYCEE JEAN BAPTISTE DARNET;2014;ST YRIEIX LA PERCHE;94;84;91;LIMOGES
LYCEE BERTENE JUMINER (GENERAL ET TECHNO.);2018;ST LAURENT DU MARONI;92;78;93;GUYANE
LYCEE BOISJOLY POTIER (GENERAL ET TECHNO.);2018;LE TAMPON;79;88;83;LA REUNION
LYCEE DE TROIS BASSINS (GENERAL ET TECHNO.);2018;LES TROIS BASSINS;96;93;89;LA REUNION
LYCEE DE ST PAUL 4 (GENERAL ET TECHNO.);2018;ST PAUL;100;96;95;LA REUNION
LYCEE AMBROISE VOLLARD;2018;ST PIERRE;86;90;91;LA REUNION
